substrate,ko_gene,ko_gene_name,ko_type,ko_reaction,rescue_reaction,rescue_rxn_name,match_key,match_type,rescue_source,rescue_layer,rescue_gene_rule,rescued_biomass,wt_biomass,pct_rescue,n_rescue_variants,n_ko_reactions
D-Glucuronic Acid,b3526,kdgK,single,DDGLK,DDGALK,2-dehydro-3-deoxygalactonokinase,ec:2.7.1.178,ec,iML1515,1,b3693,0.69863,0.69863,100.0,1,1
D-Glucuronic Acid,b4322,uxuA,single,MNNH,MNXR3617,rhea:20097,ec:4.2.1.8,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,0.69863,0.69863,100.0,1,1
D-Glucuronic Acid,b4323,uxuB,single,MANAO,MNXR3421,rhea:15729,ec:1.1.1.57,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,0.69863,0.69863,100.0,1,1
D-Malic Acid,b1702,ppsA,single,PPS,MNXR4414,rhea:11364,ec:2.7.9.2,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,0.36974,0.36974,100.0,1,1
D-Malic Acid,b1779,gapA,single,GAPD,GAPD_1,Glyceraldehyde-3-phosphate dehydrogenase,bigg:GAPD,bigg,universal_model,2,,0.36974,0.36974,100.0,1,1
D-Malic Acid,b1779,gapA,single,GAPD,GAPDHf; GAPDHh; GAPDHm,"Glyceraldehyde-3-phosphate dehydrogenase (NAD). flagellar; Glyceraldehyde 3-phosphate dehydrogenase (NAD), mitochondria; Glyceraldehyde 3-phosphate dehydrogenase (NAD)",ec:1.2.1.12,ec,universal_model,2,,0.36974,0.36974,100.0,3,1
D-Malic Acid,b1779,gapA,single,GAPD,GAPDH_nadp_hi; GAPDi_nadp,Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating); Glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating),ec:1.2.1.59,ec,universal_model,2,,0.36974,0.36974,100.0,2,1
D-Malic Acid,b1800,dmlA,single,MALDDH,MNXR3382,rhea:18365,ec:1.1.1.83,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,0.36974,0.36974,100.0,1,1
D-Malic Acid,b2779,eno,single,ENO,ENOf; ENOm; MNXR1898; MNXR74234,"kegg:R04206; rhea:10164; Enolase, mitochondria; Enolase, flagellar",ec:4.2.1.11,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.36974,0.36974,100.0,4,1
D-Malic Acid,b2926,pgk,single,PGK,MNXR4189; PGKf; PGKh; PGKm,"rhea:14801; Phosphoglycerate kinase, mitochondrial; Phosphoglycerate kinase, flagellar; Phosphoglycerate kinase, chloroplast",ec:2.7.2.3,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.36974,0.36974,100.0,4,1
