substrate,gene1,gene2,gene3,gene1_name,gene2_name,gene3_name,ko_type,wt_growth
alpha-Keto-Glutaric,b0765,b2425,b3917,modC,cysP,sbp,triple,0.5413
alpha-Keto-Glutaric,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.5413
alpha-Keto-Glutaric,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.5413
alpha-Keto-Glutaric,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.5413
alpha-Keto-Glutaric,b0764,b2425,b3917,modB,cysP,sbp,triple,0.5413
Glycerol,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.4855
Glycerol,b0763,b2425,b3917,modA,cysP,sbp,triple,0.4855
Glycerol,b0765,b2425,b3917,modC,cysP,sbp,triple,0.4855
Glycerol,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.4855
Glycerol,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.4855
Glycerol,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.4855
Glycerol,b0764,b2425,b3917,modB,cysP,sbp,triple,0.4855
Succinic Acid,b1611,b1612,b4122,fumC,fumA,fumB,triple,0.444
Succinic Acid,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.444
Succinic Acid,b0763,b2425,b3917,modA,cysP,sbp,triple,0.444
Succinic Acid,b0765,b2425,b3917,modC,cysP,sbp,triple,0.444
Succinic Acid,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.444
Succinic Acid,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.444
Succinic Acid,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.444
Succinic Acid,b0764,b2425,b3917,modB,cysP,sbp,triple,0.444
L-Aspartic Acid,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.4051
L-Aspartic Acid,b0763,b2425,b3917,modA,cysP,sbp,triple,0.4051
L-Aspartic Acid,b0765,b2425,b3917,modC,cysP,sbp,triple,0.4051
L-Aspartic Acid,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.4051
L-Aspartic Acid,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.4051
L-Aspartic Acid,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.4051
L-Aspartic Acid,b0764,b2425,b3917,modB,cysP,sbp,triple,0.4051
L-Malic Acid,b0621,b4123,b4138,dcuC,dcuB,dcuA,triple,0.4051
L-Malic Acid,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.4051
L-Malic Acid,b0763,b2425,b3917,modA,cysP,sbp,triple,0.4051
L-Malic Acid,b0765,b2425,b3917,modC,cysP,sbp,triple,0.4051
L-Malic Acid,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.4051
L-Malic Acid,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.4051
L-Malic Acid,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.4051
L-Malic Acid,b0764,b2425,b3917,modB,cysP,sbp,triple,0.4051
Fumaric Acid,b1611,b1612,b4122,fumC,fumA,fumB,triple,0.4051
Fumaric Acid,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.4051
Fumaric Acid,b0763,b2425,b3917,modA,cysP,sbp,triple,0.4051
Fumaric Acid,b0765,b2425,b3917,modC,cysP,sbp,triple,0.4051
Fumaric Acid,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.4051
Fumaric Acid,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.4051
Fumaric Acid,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.4051
Fumaric Acid,b0764,b2425,b3917,modB,cysP,sbp,triple,0.4051
D-Alanine,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.3699
D-Alanine,b0763,b2425,b3917,modA,cysP,sbp,triple,0.3699
