substrate,ko_gene1,ko_gene2,ko_type,ko_reaction,rescue_reaction,rescue_rxn_name,match_key,match_type,rescue_source,rescue_layer,rescue_gene_rule,rescued_biomass,wt_biomass,pct_rescue,n_rescue_variants,n_ko_reactions
Maltose,b0073,b1800,double,IPMD,MNXR3132; MNXR3962; MNXR5662; OMCDC; OMCDCm,2-Oxo-4-methyl-3-carboxypentanoate decarboxylation; rhea:10892; rhea:32271; rhea:25078; 2 oxo 4 methyl 3 carboxypentanoate decarboxylation,ec:1.1.1.85,ec,iML1515; metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,1,s0001,1.10711,1.10711,100.0,5,1
Maltose,b0092,b0381,double,ALAALAr,MNXR614,rhea:11224,ec:6.3.2.4,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,1.10711,1.10711,100.0,1,1
Maltose,b0099,b1865,double,DNTPPA,DNTPPA_1,Dihydroneopterin triphosphate pyrophosphatase,ec:3.6.1.67,ec,universal_model,2,,1.10711,1.10711,100.0,1,1
Maltose,b0126,b0339,double,HCO3E,HCO3Ee; HCO3Ehi; HCO3Em; HCO3En; MNXR2856,"rhea:10748; HCO3 equilibrium reaction  nuclear; HCO3 equilibration reaction, extracellular; HCO3 equilibration reaction; Carbonate dehydratase (HCO3 equilibration reaction), irreversible, chloroplast",ec:4.2.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,1.10711,1.10711,100.0,5,1
Maltose,b0149,b3396,double,MCTP1App,MCTP1Aex,Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm),mnx:MNXR101426,mnx,universal_model,2,,1.10711,1.10711,100.0,1,1
Maltose,b0155,b1592,double,CLtipp,CLtipp,Chloride ion transport in via diffusion (periplasm),direct_restore,direct_restore,no_library_analogue,0,b1592,1.1071,1.10711,100.0,1,1
Maltose,b0155,b1592,double,CLt3_2pp,CLt3r_2,Chloride transport via proton antiport (2:1) (periplasm),mnx:MNXR96796,mnx,universal_model,2,,1.10711,1.10711,100.0,1,1
Maltose,b0171,b0910,double,UMPK,CYTK1; CYTK1m; CYTK1n; CYTK2; CYTK2m; CYTK2n; UMPKm; UMPKn,"Cytidylate kinase (CMP); Cytidylate kinase (dCMP); Cytidylate kinase (CMP),mitochondrial; Cytidylate kinase (CMP),nuclear; UMP kinase (mitochondrial, ATP); UMP kinase  nuclear; Cytidylate kinase (dCMP),nuclear; Cytidylate kinase (dCMP),mitochondrial",ec:2.7.4.14,ec,iML1515; universal_model,1,b0910,1.10232,1.10711,99.6,8,1
Maltose,b0171,b0910,double,UMPK,ADK3; ADK3m; MNXR68283; MNXR84761; URIDK2m; URIDK2r; URIDK2rn,"Adentylate kinase (GTP); Uridylate kinase (dUMP); rhea:29863; metacyc:NUCLEOSIDE-PHOSPHATE-KINASE-RXN; Adentylate kinase  GTP ; Uridylate kinase  dUMP   nuclear; Uridylate kinase (dUMP), mitochondrial",ec:2.7.4.4,ec,iJR904; iML1515; metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,1,b0474,1.10232,1.10711,99.6,7,1
Maltose,b0238,b2508,double,IMPD,6TINS5MPOR; IMPDm; MNXR3100; MNXR75334,"kegg:R08240; rhea:11708; IMP dehydrogenase, mitochondria; 6-thioinosine 5'-monophosphate:NAD oxidoreductase",ec:1.1.1.205,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,1.10711,1.10711,100.0,4,1
